id,trackGenre,trackGenreLabel,title,artist,popularity,valence,energy,quadrant,spotifyId,youtubeVideoId,youtubeUrl,youtubeSearchUrl
spotify-3ksrirMSqxsvNebKmx5UEM,german,German,Hunger,Hans Zimmer,13,0.0352,0.329,sad_low,3ksrirMSqxsvNebKmx5UEM,,,https://www.youtube.com/results?search_query=Hans%20Zimmer%20Hunger%20official%20audio
spotify-5qRojknZn6ap1xVqOTBaEK,grindcore,Grindcore,A Race For Power,Disfear,13,0.146,0.988,tense,5qRojknZn6ap1xVqOTBaEK,,,https://www.youtube.com/results?search_query=Disfear%20A%20Race%20For%20Power%20official%20audio
spotify-4QPITi0q7YaCLi6lj96Uff,grindcore,Grindcore,Blazing Corpse,Exhumed,13,0.22,0.935,tense,4QPITi0q7YaCLi6lj96Uff,,,https://www.youtube.com/results?search_query=Exhumed%20Blazing%20Corpse%20official%20audio
spotify-3FikLli5SdMvy8mipGFZ63,grindcore,Grindcore,Cold Forgiveness,Napalm Death,13,0.196,0.978,tense,3FikLli5SdMvy8mipGFZ63,,,https://www.youtube.com/results?search_query=Napalm%20Death%20Cold%20Forgiveness%20official%20audio
spotify-032TLciwBjJAfCxsRIPfPw,grindcore,Grindcore,Fuckwound,Total Fucking Destruction,13,0.173,0.98,tense,032TLciwBjJAfCxsRIPfPw,,,https://www.youtube.com/results?search_query=Total%20Fucking%20Destruction%20Fuckwound%20official%20audio
spotify-6lJlTo7SiDlG4DpyovUgyF,grindcore,Grindcore,Hacked Up for Barbeque,Mortician,13,0.137,0.676,tense,6lJlTo7SiDlG4DpyovUgyF,,,https://www.youtube.com/results?search_query=Mortician%20Hacked%20Up%20for%20Barbeque%20official%20audio
spotify-1LDfU40lpVSJKkru3y287R,grindcore,Grindcore,Icaro,Magrudergrind,13,0.4,0.918,tense,1LDfU40lpVSJKkru3y287R,,,https://www.youtube.com/results?search_query=Magrudergrind%20Icaro%20official%20audio
spotify-1JxiZDBZX48WupoNZCDH43,grindcore,Grindcore,Intro / Defiler of the Dead,Mortician,13,0.11,0.644,tense,1JxiZDBZX48WupoNZCDH43,,,https://www.youtube.com/results?search_query=Mortician%20Intro%20%2F%20Defiler%20of%20the%20Dead%20official%20audio
spotify-6FBOCvFNx6C0f6tW6WrqoK,grindcore,Grindcore,Mentally Murdered,Napalm Death,13,0.482,0.89,tense,6FBOCvFNx6C0f6tW6WrqoK,,,https://www.youtube.com/results?search_query=Napalm%20Death%20Mentally%20Murdered%20official%20audio
spotify-1eHgjbMkleFaoQf8KBShgp,grindcore,Grindcore,Pride Assassin,Napalm Death,13,0.285,0.903,tense,1eHgjbMkleFaoQf8KBShgp,,,https://www.youtube.com/results?search_query=Napalm%20Death%20Pride%20Assassin%20official%20audio
spotify-7EN8YO1EpSzSleJk35nZL7,grindcore,Grindcore,To Catch A Killer,Gorerotted,13,0.599,0.968,happy,7EN8YO1EpSzSleJk35nZL7,,,https://www.youtube.com/results?search_query=Gorerotted%20To%20Catch%20A%20Killer%20official%20audio
spotify-09C0LTpn3BN542xdXSGTRg,idm,IDM,All the Way Round - Mr Beatnick Remix,"Kelpe, Mr Beatnick",13,0.269,0.689,tense,09C0LTpn3BN542xdXSGTRg,,,https://www.youtube.com/results?search_query=Kelpe%2C%20Mr%20Beatnick%20All%20the%20Way%20Round%20-%20Mr%20Beatnick%20Remix%20official%20audio
spotify-75B4aRb2mpubbZNG6YMeur,idm,IDM,Aurora - Mixed,"alva noto, Ryuichi Sakamoto",13,0.0757,0.0454,sad_low,75B4aRb2mpubbZNG6YMeur,,,https://www.youtube.com/results?search_query=alva%20noto%2C%20Ryuichi%20Sakamoto%20Aurora%20-%20Mixed%20official%20audio
spotify-13JA5wH9zrY23pUjxlxUtx,idm,IDM,Autumn Fog Lifts - Yearbook Version / Remastered,Milieu,13,0.785,0.444,relaxed,13JA5wH9zrY23pUjxlxUtx,,,https://www.youtube.com/results?search_query=Milieu%20Autumn%20Fog%20Lifts%20-%20Yearbook%20Version%20%2F%20Remastered%20official%20audio
spotify-3ZxOjtfOasnDolN3pZ8FAt,idm,IDM,Barbola Work,The Black Dog,13,0.924,0.907,happy,3ZxOjtfOasnDolN3pZ8FAt,,,https://www.youtube.com/results?search_query=The%20Black%20Dog%20Barbola%20Work%20official%20audio
spotify-5PKjpKNG7SGdVcMV5dfyX6,idm,IDM,Diagram VII - 80's Mx,D'Arcangelo,13,0.16,0.62,tense,5PKjpKNG7SGdVcMV5dfyX6,,,https://www.youtube.com/results?search_query=D'Arcangelo%20Diagram%20VII%20-%2080's%20Mx%20official%20audio
spotify-7aZHrK6OPvjoln9wjQwFIU,idm,IDM,Echo Love,Mokhov,13,0.434,0.789,tense,7aZHrK6OPvjoln9wjQwFIU,,,https://www.youtube.com/results?search_query=Mokhov%20Echo%20Love%20official%20audio
spotify-0pKky46oy5um7iUFOJ4qEx,idm,IDM,Future Hope,Mokhov,13,0.525,0.78,happy,0pKky46oy5um7iUFOJ4qEx,,,https://www.youtube.com/results?search_query=Mokhov%20Future%20Hope%20official%20audio
spotify-6GduxLfJo5y4BVv4uv6NA1,idm,IDM,Goodnight Vienna,LFO,13,0.035,0.228,sad_low,6GduxLfJo5y4BVv4uv6NA1,,,https://www.youtube.com/results?search_query=LFO%20Goodnight%20Vienna%20official%20audio
spotify-0KX3G560wMcZyDIZAw10mJ,idm,IDM,HMT - 202 Mix,Bochum Welt,13,0.557,0.442,relaxed,0KX3G560wMcZyDIZAw10mJ,,,https://www.youtube.com/results?search_query=Bochum%20Welt%20HMT%20-%20202%20Mix%20official%20audio
spotify-7GPk5575lXwT1i8XP3isXn,idm,IDM,In Motion,Infinite Scale,13,0.162,0.265,sad_low,7GPk5575lXwT1i8XP3isXn,,,https://www.youtube.com/results?search_query=Infinite%20Scale%20In%20Motion%20official%20audio
spotify-28YdZYBQZ6cVmEAQp2Khjn,idm,IDM,Lighthouse,Datassette,13,0.282,0.483,sad_low,28YdZYBQZ6cVmEAQp2Khjn,,,https://www.youtube.com/results?search_query=Datassette%20Lighthouse%20official%20audio
spotify-1vkLNuGAdbbmNhnLWlOHXH,idm,IDM,Love in the 90's,Melorman,13,0.707,0.495,relaxed,1vkLNuGAdbbmNhnLWlOHXH,,,https://www.youtube.com/results?search_query=Melorman%20Love%20in%20the%2090's%20official%20audio
spotify-3kzOSIlzxenJZSsGTjJ9Ia,idm,IDM,Manic Thru Tone,Casino Versus Japan,13,0.0451,0.696,tense,3kzOSIlzxenJZSsGTjJ9Ia,,,https://www.youtube.com/results?search_query=Casino%20Versus%20Japan%20Manic%20Thru%20Tone%20official%20audio
spotify-7mNIlF7kBjbpVxQH9FIDdb,idm,IDM,Pino Pomo,Plaid,13,0.694,0.675,happy,7mNIlF7kBjbpVxQH9FIDdb,,,https://www.youtube.com/results?search_query=Plaid%20Pino%20Pomo%20official%20audio
spotify-5HhORlnAQ7rnglkenOqHDR,idm,IDM,Spine Bubbles,Two Lone Swordsmen,13,0.277,0.481,sad_low,5HhORlnAQ7rnglkenOqHDR,,,https://www.youtube.com/results?search_query=Two%20Lone%20Swordsmen%20Spine%20Bubbles%20official%20audio
