id,title,artist,album,quadrant,valence,energy,durationMs,analysisConfidence,categorySource,audioUrl,downloadUrl,externalUrl,licenseUrl,source
commons-64738892,Movement Proposition,Kevin MacLeod,Incompetech Instrumental Essentials,happy,0.5,0.66,141009,0.57,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/9/9d/Movement_Proposition_%28ISRC_USUAN1100778%29.mp3,https://upload.wikimedia.org/wikipedia/commons/9/9d/Movement_Proposition_%28ISRC_USUAN1100778%29.mp3,https://commons.wikimedia.org/wiki/File:Movement_Proposition_(ISRC_USUAN1100778).mp3,https://creativecommons.org/licenses/by/3.0,wikimedia_commons
archive-nineinchnails_ghosts_I_IV-5,5 Ghosts I,Nine Inch Nails,Ghosts I-IV,relaxed,0.5,0.18,171810,0.83,curated_archive_mainstream_instrumental,https://archive.org/download/nineinchnails_ghosts_I_IV/05_Ghosts_I_320kb.mp3,https://archive.org/download/nineinchnails_ghosts_I_IV/05_Ghosts_I_320kb.mp3,https://archive.org/details/nineinchnails_ghosts_I_IV,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,curated_archive
archive-nineinchnails_ghosts_I_IV-2,2 Ghosts I,Nine Inch Nails,Ghosts I-IV,tense,0.08,0.62,196210,0.83,curated_archive_mainstream_instrumental,https://archive.org/download/nineinchnails_ghosts_I_IV/02_Ghosts_I_320kb.mp3,https://archive.org/download/nineinchnails_ghosts_I_IV/02_Ghosts_I_320kb.mp3,https://archive.org/details/nineinchnails_ghosts_I_IV,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,curated_archive
archive-nineinchnails_ghosts_I_IV-11,11 Ghosts II,Nine Inch Nails,Ghosts I-IV,sad_low,0.08,0.18,137270,0.83,curated_archive_mainstream_instrumental,https://archive.org/download/nineinchnails_ghosts_I_IV/11_Ghosts_II_320kb.mp3,https://archive.org/download/nineinchnails_ghosts_I_IV/11_Ghosts_II_320kb.mp3,https://archive.org/details/nineinchnails_ghosts_I_IV,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,curated_archive
commons-64735967,The Complex,Kevin MacLeod,Incompetech Instrumental Essentials,happy,0.5,0.58,267755,0.51,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/c/c8/The_Complex_%28ISRC_USUAN1300025%29.mp3,https://upload.wikimedia.org/wikipedia/commons/c/c8/The_Complex_%28ISRC_USUAN1300025%29.mp3,https://commons.wikimedia.org/wiki/File:The_Complex_(ISRC_USUAN1300025).mp3,https://creativecommons.org/licenses/by/3.0,wikimedia_commons
archive-nineinchnails_ghosts_I_IV-9,9 Ghosts I,Nine Inch Nails,Ghosts I-IV,relaxed,0.5,0.18,166920,0.83,curated_archive_mainstream_instrumental,https://archive.org/download/nineinchnails_ghosts_I_IV/09_Ghosts_I_320kb.mp3,https://archive.org/download/nineinchnails_ghosts_I_IV/09_Ghosts_I_320kb.mp3,https://archive.org/details/nineinchnails_ghosts_I_IV,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,curated_archive
archive-nineinchnails_ghosts_I_IV-6,6 Ghosts I,Nine Inch Nails,Ghosts I-IV,tense,0.08,0.62,258640,0.83,curated_archive_mainstream_instrumental,https://archive.org/download/nineinchnails_ghosts_I_IV/06_Ghosts_I_320kb.mp3,https://archive.org/download/nineinchnails_ghosts_I_IV/06_Ghosts_I_320kb.mp3,https://archive.org/details/nineinchnails_ghosts_I_IV,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,curated_archive
archive-nineinchnails_ghosts_I_IV-12,12 Ghosts II,Nine Inch Nails,Ghosts I-IV,sad_low,0.08,0.18,137140,0.83,curated_archive_mainstream_instrumental,https://archive.org/download/nineinchnails_ghosts_I_IV/12_Ghosts_II_320kb.mp3,https://archive.org/download/nineinchnails_ghosts_I_IV/12_Ghosts_II_320kb.mp3,https://archive.org/details/nineinchnails_ghosts_I_IV,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,curated_archive
commons-64750590,Action,Kevin MacLeod,Incompetech Instrumental Essentials,happy,0.5,0.66,195213,0.57,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/7/75/Action_%28ISRC_USUAN1100338%29.mp3,https://upload.wikimedia.org/wikipedia/commons/7/75/Action_%28ISRC_USUAN1100338%29.mp3,https://commons.wikimedia.org/wiki/File:Action_(ISRC_USUAN1100338).mp3,https://creativecommons.org/licenses/by/3.0,wikimedia_commons
archive-nineinchnails_ghosts_I_IV-13,13 Ghosts II,Nine Inch Nails,Ghosts I-IV,relaxed,0.5,0.18,193570,0.83,curated_archive_mainstream_instrumental,https://archive.org/download/nineinchnails_ghosts_I_IV/13_Ghosts_II_320kb.mp3,https://archive.org/download/nineinchnails_ghosts_I_IV/13_Ghosts_II_320kb.mp3,https://archive.org/details/nineinchnails_ghosts_I_IV,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,curated_archive
